127.0.1.2  20s
172.6.1.3			6s
10.3.5.6	100s
192.16.13.4			150s
192.16.13.4			150s
190.16.13.4			150s
102.16.13.4			150s
182.16.13.4			150s
172.16.13.4			150s
147.16.13.4			150s
132.16.13.4			150s
125.16.13.4			150s
126.16.13.4			150s
125.16.13.4			150s
123.16.13.4			150s
123.16.13.4			150s
122.16.13.4			150s
112.16.13.4			150s
162.13.13.4			150s
152.13.13.4			150s
142.12.13.4			150s
132.11.13.4			150s
122.16.12.4			150s
112.16.11.4			150s
112.16.11.3			150s
123.16.13.3			150s
122.16.13.3			150s
112.16.13.3			150s
162.13.13.3			150s
152.13.13.3			150s
142.12.13.3			150s
132.11.13.2			150s
122.16.12.2			150s
112.16.11.2			150s
112.16.11.2			150s
112.16.11.2			150s
123.16.13.2			150s
122.16.13.2			150s
112.16.13.2			150s
162.13.13.2			150s
152.13.13.2			150s
142.12.13.2			150s
132.11.13.2			150s
122.16.12.2			150s
112.16.11.5			150s
122.16.12.5			150s
112.16.11.5			150s
112.16.11.5			150s
112.16.11.5			150s
123.16.13.5			150s
122.16.13.5			150s
112.16.13.5			150s
162.13.13.5			150s
152.13.13.5			150s
142.12.13.5			150s
112.16.11.7			150s
122.16.12.7			150s
112.16.11.7			150s
112.16.11.7			150s
112.16.11.7			150s
123.16.13.7			150s
122.16.13.7			150s
112.16.13.7			150s
162.13.13.7			150s
152.13.13.7			150s
182.16.13.1			150s
172.16.13.1			150s
147.16.13.1			150s
132.16.13.1			150s
125.16.13.1			150s
126.16.13.1			150s
125.16.13.1			150s
123.16.13.1			150s
123.16.13.1			150s
122.16.13.1			150s
182.16.11.1			150s
172.16.11.1			150s
147.16.11.1			150s
132.16.11.1			150s
125.16.11.1			150s
126.16.11.1			150s
125.16.11.1			150s
123.16.11.1			150s
123.16.11.1			150s
122.16.11.1			150s
182.11.13.1			150s
172.11.13.1			150s
147.11.13.1			150s
132.11.13.1			150s
125.11.13.1			150s
126.11.13.1			150s
125.11.13.1			150s
123.11.13.1			150s
123.11.13.1			150s
122.11.13.1			150s
181.16.11.1			150s
171.16.11.1			150s
141.16.11.1			150s
131.16.11.1			150s
121.16.11.1			150s
121.16.11.1			150s
121.16.11.1			150s
121.16.11.1			150s
121.16.11.1			150s
121.16.11.1			150s
